date,country,adm,n_cum_conf,n_cum_deaths,n_inc_conf,n_inc_deaths,class
2020-02-14,South Korea,all,28,,,,
2020-02-14,Spain,all,2,,,,
2020-02-14,Sri Lanka,all,1,,,,
2020-02-14,Sweden,all,1,,,,
2020-02-14,Thailand,all,33,,,,
2020-02-14,UK,all,9,,,,
2020-02-14,United Arab Emirates,all,8,,,,
2020-02-14,USA,all,15,,,,
2020-02-14,Vietnam,all,16,,,,
2020-02-15,Australia,all,15,,,,
2020-02-15,Belgium,all,1,,,,
2020-02-15,Cambodia,all,1,,,,
2020-02-15,Canada,all,7,,,,
2020-02-15,Egypt,all,1,,,,
2020-02-15,Finland,all,1,,,,
2020-02-15,France,all,11,,,,
2020-02-15,Germany,all,16,,,,
2020-02-15,India,all,3,,,,
2020-02-15,Italy,all,3,,,,
2020-02-15,Japan,all,41,,,,
2020-02-15,Malaysia,all,21,,,,
2020-02-15,Nepal,all,1,,,,
2020-02-15,Philippines,all,3,,,,
2020-02-15,Russia,all,2,,,,
2020-02-15,Singapore,all,67,,,,
2020-02-15,South Korea,all,28,,,,
2020-02-15,Spain,all,2,,,,
2020-02-15,Sri Lanka,all,1,,,,
2020-02-15,Sweden,all,1,,,,
2020-02-15,Thailand,all,34,,,,
2020-02-15,UK,all,9,,,,
2020-02-15,United Arab Emirates,all,8,,,,
2020-02-15,USA,all,15,,,,
2020-02-15,Vietnam,all,16,,,,
2020-02-16,Australia,all,15,,,,
2020-02-16,Belgium,all,1,,,,
2020-02-16,Cambodia,all,1,,,,
2020-02-16,Canada,all,7,,,,
2020-02-16,Egypt,all,1,,,,
2020-02-16,Finland,all,1,,,,
2020-02-16,France,all,12,,,,
2020-02-16,Germany,all,16,,,,
2020-02-16,India,all,3,,,,
2020-02-16,Italy,all,3,,,,
2020-02-16,Japan,all,53,,,,
2020-02-16,Malaysia,all,22,,,,
2020-02-16,Nepal,all,1,,,,
2020-02-16,Philippines,all,3,,,,
2020-02-16,Russia,all,2,,,,
2020-02-16,Singapore,all,72,,,,
2020-02-16,South Korea,all,29,,,,
2020-02-16,Spain,all,2,,,,
2020-02-16,Sri Lanka,all,1,,,,
2020-02-16,Sweden,all,1,,,,
2020-02-16,Thailand,all,34,,,,
2020-02-16,UK,all,9,,,,
2020-02-16,United Arab Emirates,all,8,,,,
2020-02-16,USA,all,15,,,,
2020-02-16,Vietnam,all,16,,,,
2020-02-17,Australia,all,15,,,,
2020-02-17,Belgium,all,1,,,,
2020-02-17,Cambodia,all,1,,,,
2020-02-17,Canada,all,7,,,,
2020-02-17,Egypt,all,1,,,,
2020-02-17,Finland,all,1,,,,
2020-02-17,France,all,12,,,,
2020-02-17,Germany,all,16,,,,
2020-02-17,India,all,3,,,,
2020-02-17,Italy,all,3,,,,
2020-02-17,Japan,all,59,,,,
2020-02-17,Malaysia,all,22,,,,
2020-02-17,Nepal,all,1,,,,
2020-02-17,Philippines,all,3,,,,
2020-02-17,Russia,all,2,,,,
2020-02-17,Singapore,all,75,,,,
2020-02-17,South Korea,all,30,,,,
2020-02-17,Spain,all,2,,,,
2020-02-17,Sri Lanka,all,1,,,,
2020-02-17,Sweden,all,1,,,,
2020-02-17,Thailand,all,35,,,,
2020-02-17,UK,all,9,,,,
2020-02-17,United Arab Emirates,all,9,,,,
2020-02-17,USA,all,15,,,,
2020-02-17,Vietnam,all,16,,,,
2020-02-18,Australia,all,15,,,,
2020-02-18,Belgium,all,1,,,,
2020-02-18,Cambodia,all,1,,,,
2020-02-18,Canada,all,8,,,,
2020-02-18,Egypt,all,1,,,,
2020-02-18,Finland,all,1,,,,
2020-02-18,France,all,12,,,,
2020-02-18,Germany,all,16,,,,
2020-02-18,India,all,3,,,,
2020-02-18,Italy,all,3,,,,
2020-02-18,Japan,all,65,,,,
2020-02-18,Malaysia,all,22,,,,
2020-02-18,Nepal,all,1,,,,
2020-02-18,Philippines,all,3,,,,
2020-02-18,Russia,all,2,,,,
2020-02-18,Singapore,all,77,,,,
2020-02-18,South Korea,all,31,,,,
2020-02-18,Spain,all,2,,,,
2020-02-18,Sri Lanka,all,1,,,,
2020-02-18,Sweden,all,1,,,,
2020-02-18,Thailand,all,35,,,,
2020-02-18,UK,all,9,,,,
2020-02-18,United Arab Emirates,all,9,,,,
2020-02-18,USA,all,15,,,,
2020-02-18,Vietnam,all,16,,,,
2020-02-19,Australia,all,15,,,,
2020-02-19,Belgium,all,1,,,,
2020-02-19,Cambodia,all,1,,,,
2020-02-19,Canada,all,8,,,,
2020-02-19,Egypt,all,1,,,,
2020-02-19,Finland,all,1,,,,
2020-02-19,France,all,12,,,,
2020-02-19,Germany,all,16,,,,
2020-02-19,India,all,3,,,,
2020-02-19,Italy,all,3,,,,
2020-02-19,Japan,all,73,,,,
2020-02-19,Malaysia,all,22,,,,
2020-02-19,Nepal,all,1,,,,
2020-02-19,Philippines,all,3,,,,
2020-02-19,Russia,all,2,,,,
2020-02-19,Singapore,all,81,,,,
2020-02-19,South Korea,all,51,,,,
2020-02-19,Spain,all,2,,,,
2020-02-19,Sri Lanka,all,1,,,,
2020-02-19,Sweden,all,1,,,,
2020-02-19,Thailand,all,35,,,,
2020-02-19,UK,all,9,,,,
2020-02-19,United Arab Emirates,all,9,,,,
2020-02-19,USA,all,15,,,,
2020-02-19,Vietnam,all,16,,,,
2020-02-20,Australia,all,15,,,,
2020-02-20,Belgium,all,1,,,,
2020-02-20,Cambodia,all,1,,,,
2020-02-20,Canada,all,8,,,,
2020-02-20,Egypt,all,1,,,,
2020-02-20,Finland,all,1,,,,
2020-02-20,France,all,12,,,,
2020-02-20,Germany,all,16,,,,
2020-02-20,India,all,3,,,,
2020-02-20,Iran,all,2,,,,
2020-02-20,Italy,all,3,,,,
2020-02-20,Japan,all,85,,,,
2020-02-20,Malaysia,all,22,,,,
2020-02-20,Nepal,all,1,,,,
2020-02-20,Philippines,all,3,,,,
2020-02-20,Russia,all,2,,,,
2020-02-20,Singapore,all,84,,,,
2020-02-20,South Korea,all,104,,,,
2020-02-20,Spain,all,2,,,,
2020-02-20,Sri Lanka,all,1,,,,
2020-02-20,Sweden,all,1,,,,
2020-02-20,Thailand,all,35,,,,
2020-02-20,UK,all,9,,,,
2020-02-20,United Arab Emirates,all,9,,,,
2020-02-20,USA,all,15,,,,
2020-02-20,Vietnam,all,16,,,,
2020-02-21,Australia,all,16,,,,
2020-02-21,Belgium,all,1,,,,
2020-02-21,Cambodia,all,1,,,,
2020-02-21,Canada,all,8,,,,
2020-02-21,Egypt,all,1,,,,
2020-02-21,Finland,all,1,,,,
2020-02-21,France,all,12,,,,
2020-02-21,Germany,all,16,,,,
2020-02-21,India,all,3,,,,
2020-02-21,Iran,all,5,,,,
2020-02-21,Italy,all,3,,,,
2020-02-21,Japan,all,93,,,,
2020-02-21,Malaysia,all,22,,,,
2020-02-21,Nepal,all,1,,,,
2020-02-21,Philippines,all,3,,,,
2020-02-21,Russia,all,2,,,,
2020-02-21,Singapore,all,85,,,,
2020-02-21,South Korea,all,204,,,,
2020-02-21,Spain,all,2,,,,
2020-02-21,Sri Lanka,all,1,,,,
2020-02-21,Sweden,all,1,,,,
2020-02-21,Thailand,all,35,,,,
2020-02-21,UK,all,9,,,,
2020-02-21,United Arab Emirates,all,9,,,,
2020-02-21,USA,all,15,,,,
2020-02-21,Vietnam,all,16,,,,
2020-02-22,Australia,all,21,,,,
2020-02-22,Belgium,all,1,,,,
2020-02-22,Cambodia,all,1,,,,
2020-02-22,Canada,all,8,,,,
2020-02-22,Egypt,all,1,,,,
2020-02-22,Finland,all,1,,,,
2020-02-22,France,all,12,,,,
2020-02-22,Germany,all,16,,,,
2020-02-22,India,all,3,,,,
2020-02-22,Iran,all,18,,,,
2020-02-22,Israel,all,1,,,,
2020-02-22,Italy,all,9,,,,
2020-02-22,Japan,all,105,,,,
2020-02-22,Lebanon,all,1,,,,
2020-02-22,Malaysia,all,22,,,,
2020-02-22,Nepal,all,1,,,,
2020-02-22,Philippines,all,3,,,,
2020-02-22,Russia,all,2,,,,
2020-02-22,Singapore,all,86,,,,
2020-02-22,South Korea,all,346,,,,
2020-02-22,Spain,all,2,,,,
2020-02-22,Sri Lanka,all,1,,,,
2020-02-22,Sweden,all,1,,,,
2020-02-22,Thailand,all,35,,,,
2020-02-22,UK,all,9,,,,
2020-02-22,United Arab Emirates,all,11,,,,
2020-02-22,USA,all,35,,,,
2020-02-22,Vietnam,all,16,,,,
2020-02-23,Australia,all,22,,,,
2020-02-23,Belgium,all,1,,,,
2020-02-23,Cambodia,all,1,,,,
2020-02-23,Canada,all,9,,,,
2020-02-23,Egypt,all,1,,,,
2020-02-23,Finland,all,1,,,,
