date,country,adm,n_cum_conf,n_cum_deaths,n_inc_conf,n_inc_sus,n_inc_deaths,population_E4,n_cum_clin,n_cum_tot,n_inc_clin,n_inc_tot
2020-02-05,China,Anhui,530,,,,,6324,,,,
2020-02-05,China,Beijing,253,,,,,2154,,,,
2020-02-05,China,Chongqing,366,,,,,3102,,,,
2020-02-05,China,Fujian,205,,,,,3941,,,,
2020-02-05,China,Gansu,57,,,,,2637,,,,
2020-02-05,China,Guangdong,870,,,,,11346,,,,
2020-02-05,China,Guangxi,150,,,,,4926,,,,
2020-02-05,China,Guizhou,64,,,,,3600,,,,
2020-02-05,China,Hainan,89,,,,,934,,,,
2020-02-05,China,Hebei,135,,,,,7556,,,,
2020-02-05,China,Heilongjiang,190,,,,,3773,,,,
2020-02-05,China,Henan,764,,,,,9605,,,,
2020-02-05,China,Hong Kong SAR,18,,,,,745,,,,
2020-02-05,China,Hubei,16678,,,,,5917,,,,
2020-02-05,China,Hunan,661,,,,,6899,,,,
2020-02-05,China,Inner Mongolia,42,,,,,2534,,,,
2020-02-05,China,Jiangsu,341,,,,,8051,,,,
2020-02-05,China,Jiangxi,548,,,,,4648,,,,
2020-02-05,China,Jilin,54,,,,,2704,,,,
2020-02-05,China,Liaoning,81,,,,,4359,,,,
2020-02-05,China,Macao SAR,10,,,,,66,,,,
2020-02-05,China,Ningxia,34,,,,,688,,,,
2020-02-05,China,Qinghai,17,,,,,603,,,,
2020-02-05,China,Shaanxi,165,,,,,3864,,,,
2020-02-05,China,Shandong,298,,,,,10047,,,,
2020-02-05,China,Shanghai,233,,,,,2424,,,,
2020-02-05,China,Shanxi,81,,,,,3718,,,,
2020-02-05,China,Sichuan,301,,,,,8341,,,,
2020-02-05,China,Taiwan,11,,,,,2359,,,,
2020-02-05,China,Tianjin,67,,,,,1560,,,,
2020-02-05,China,Xinjiang,32,,,,,2487,,,,
2020-02-05,China,Yunnan,122,,,,,4830,,,,
2020-02-05,China,Zhejiang,895,,,,,5737,,,,
2020-02-06,China,all,28060,,,,,142823,,,,
2020-02-06,China,Anhui,591,,,,,6324,,,,
2020-02-06,China,Beijing,274,,,,,2154,,,,
2020-02-06,China,Chongqing,389,,,,,3102,,,,
2020-02-06,China,Fujian,215,,,,,3941,,,,
2020-02-06,China,Gansu,62,,,,,2637,,,,
2020-02-06,China,Guangdong,944,,,,,11346,,,,
2020-02-06,China,Guangxi,168,,,,,4926,,,,
2020-02-06,China,Guizhou,69,,,,,3600,,,,
2020-02-06,China,Hainan,100,,,,,934,,,,
2020-02-06,China,Hebei,157,,,,,7556,,,,
2020-02-06,China,Heilongjiang,227,,,,,3773,,,,
2020-02-06,China,Henan,851,,,,,9605,,,,
2020-02-06,China,Hong Kong SAR,21,,,,,745,,,,
2020-02-06,China,Hubei,19665,,,,,5917,,,,
2020-02-06,China,Hunan,711,,,,,6899,,,,
2020-02-06,China,Inner Mongolia,46,,,,,2534,,,,
2020-02-06,China,Jiangsu,373,,,,,8051,,,,
2020-02-06,China,Jiangxi,600,,,,,4648,,,,
2020-02-06,China,Jilin,59,,,,,2704,,,,
2020-02-06,China,Liaoning,89,,,,,4359,,,,
2020-02-06,China,Macao SAR,10,,,,,66,,,,
2020-02-06,China,Ningxia,40,,,,,688,,,,
2020-02-06,China,Qinghai,18,,,,,603,,,,
2020-02-06,China,Shaanxi,173,,,,,3864,,,,
2020-02-06,China,Shandong,343,,,,,10047,,,,
2020-02-06,China,Shanghai,254,,,,,2424,,,,
2020-02-06,China,Shanxi,90,,,,,3718,,,,
2020-02-06,China,Sichuan,321,,,,,8341,,,,
2020-02-06,China,Taiwan,11,,,,,2359,,,,
2020-02-06,China,Tianjin,70,,,,,1560,,,,
2020-02-06,China,Xinjiang,36,,,,,2487,,,,
2020-02-06,China,Xizang,1,,,,,344,,,,
2020-02-06,China,Yunnan,128,,,,,4830,,,,
2020-02-06,China,Zhejiang,954,,,,,5737,,,,
2020-02-07,China,all,31211,,,,,142823,,,,
2020-02-07,China,Anhui,665,,,,,6324,,,,
2020-02-07,China,Beijing,297,,,,,2154,,,,
2020-02-07,China,Chongqing,411,,,,,3102,,,,
2020-02-07,China,Fujian,224,,,,,3941,,,,
2020-02-07,China,Gansu,70,,,,,2637,,,,
2020-02-07,China,Guangdong,1018,,,,,11346,,,,
2020-02-07,China,Guangxi,172,,,,,4926,,,,
2020-02-07,China,Guizhou,77,,,,,3600,,,,
2020-02-07,China,Hainan,111,,,,,934,,,,
2020-02-07,China,Hebei,171,,,,,7556,,,,
2020-02-07,China,Heilongjiang,277,,,,,3773,,,,
2020-02-07,China,Henan,914,,,,,9605,,,,
2020-02-07,China,Hong Kong SAR,24,,,,,745,,,,
2020-02-07,China,Hubei,22112,,,,,5917,,,,
2020-02-07,China,Hunan,772,,,,,6899,,,,
2020-02-07,China,Inner Mongolia,49,,,,,2534,,,,
2020-02-07,China,Jiangsu,408,,,,,8051,,,,
2020-02-07,China,Jiangxi,661,,,,,4648,,,,
2020-02-07,China,Jilin,65,,,,,2704,,,,
2020-02-07,China,Liaoning,94,,,,,4359,,,,
2020-02-07,China,Macao SAR,10,,,,,66,,,,
2020-02-07,China,Ningxia,43,,,,,688,,,,
2020-02-07,China,Qinghai,18,,,,,603,,,,
2020-02-07,China,Shaanxi,184,,,,,3864,,,,
2020-02-07,China,Shandong,379,,,,,10047,,,,
2020-02-07,China,Shanghai,269,,,,,2424,,,,
2020-02-07,China,Shanxi,96,,,,,3718,,,,
2020-02-07,China,Sichuan,344,,,,,8341,,,,
2020-02-07,China,Taiwan,16,,,,,2359,,,,
2020-02-07,China,Tianjin,79,,,,,1560,,,,
2020-02-07,China,Xinjiang,39,,,,,2487,,,,
2020-02-07,China,Xizang,1,,,,,344,,,,
2020-02-07,China,Yunnan,135,,,,,4830,,,,
2020-02-07,China,Zhejiang,1006,,,,,5737,,,,
2020-02-08,China,all,34598,,,,,142823,,,,
2020-02-08,China,Anhui,733,,,,,6324,,,,
2020-02-08,China,Beijing,315,,,,,2154,,,,
2020-02-08,China,Chongqing,426,,,,,3102,,,,
2020-02-08,China,Fujian,239,,,,,3941,,,,
2020-02-08,China,Gansu,71,,,,,2637,,,,
2020-02-08,China,Guangdong,1075,,,,,11346,,,,
2020-02-08,China,Guangxi,183,,,,,4926,,,,
2020-02-08,China,Guizhou,89,,,,,3600,,,,
2020-02-08,China,Hainan,123,,,,,934,,,,
2020-02-08,China,Hebei,195,,,,,7556,,,,
2020-02-08,China,Heilongjiang,282,,,,,3773,,,,
2020-02-08,China,Henan,981,,,,,9605,,,,
2020-02-08,China,Hong Kong SAR,26,,,,,745,,,,
2020-02-08,China,Hubei,24953,,,,,5917,,,,
2020-02-08,China,Hunan,803,,,,,6899,,,,
2020-02-08,China,Inner Mongolia,50,,,,,2534,,,,
2020-02-08,China,Jiangsu,439,,,,,8051,,,,
2020-02-08,China,Jiangxi,698,,,,,4648,,,,
2020-02-08,China,Jilin,69,,,,,2704,,,,
2020-02-08,China,Liaoning,99,,,,,4359,,,,
2020-02-08,China,Macao SAR,10,,,,,66,,,,
2020-02-08,China,Ningxia,45,,,,,688,,,,
2020-02-08,China,Qinghai,18,,,,,603,,,,
2020-02-08,China,Shaanxi,195,,,,,3864,,,,
2020-02-08,China,Shandong,407,,,,,10047,,,,
2020-02-08,China,Shanghai,281,,,,,2424,,,,
2020-02-08,China,Shanxi,104,,,,,3718,,,,
2020-02-08,China,Sichuan,363,,,,,8341,,,,
2020-02-08,China,Taiwan,16,,,,,2359,,,,
2020-02-08,China,Tianjin,81,,,,,1560,,,,
2020-02-08,China,Xinjiang,42,,,,,2487,,,,
2020-02-08,China,Xizang,1,,,,,344,,,,
2020-02-08,China,Yunnan,138,,,,,4830,,,,
2020-02-08,China,Zhejiang,1048,,,,,5737,,,,
2020-02-09,China,all,37251,,,,,142823,,,,
2020-02-09,China,Anhui,779,,,,,6324,,,,
2020-02-09,China,Beijing,326,,,,,2154,,,,
2020-02-09,China,Chongqing,446,,,,,3102,,,,
2020-02-09,China,Fujian,250,,,,,3941,,,,
