date,country,adm,population_E4,n_cum_conf,n_cum_deaths,n_inc_conf,n_inc_sus,n_inc_deaths,n_cum_clin,n_cum_tot,n_inc_clin,n_inc_tot
2020-02-09,China,Shandong,10047,435,,,,,,,,
2020-02-09,China,Shanghai,2424,292,,,,,,,,
2020-02-09,China,Shanxi,3718,115,,,,,,,,
2020-02-09,China,Sichuan,8341,386,,,,,,,,
2020-02-09,China,Taiwan,2359,17,,,,,,,,
2020-02-09,China,Tianjin,1560,88,,,,,,,,
2020-02-09,China,Xinjiang,2487,45,,,,,,,,
2020-02-09,China,Xizang,344,1,,,,,,,,
2020-02-09,China,Yunnan,4830,140,,,,,,,,
2020-02-09,China,Zhejiang,5737,1075,,,,,,,,
2020-02-10,China,Anhui,6324,830,,,,,,,,
2020-02-10,China,Beijing,2154,337,,,,,,,,
2020-02-10,China,Chongqing,3102,468,,,,,,,,
2020-02-10,China,Fujian,3941,261,,,,,,,,
2020-02-10,China,Gansu,2637,85,,,,,,,,
2020-02-10,China,Guangdong,11346,1151,,,,,,,,
2020-02-10,China,Guangxi,4926,210,,,,,,,,
2020-02-10,China,Guizhou,3600,109,,,,,,,,
2020-02-10,China,Hainan,934,136,,,,,,,,
2020-02-10,China,Hebei,7556,218,,,,,,,,
2020-02-10,China,Heilongjiang,3773,331,,,,,,,,
2020-02-10,China,Henan,9605,1073,,,,,,,,
2020-02-10,China,Hong Kong SAR,745,36,,,,,,,,
2020-02-10,China,Hubei,5917,29631,,,,,,,,
2020-02-10,China,Hunan,6899,879,,,,,,,,
2020-02-10,China,Inner Mongolia,2534,58,,,,,,,,
2020-02-10,China,Jiangsu,8051,492,,,,,,,,
2020-02-10,China,Jiangxi,4648,771,,,,,,,,
2020-02-10,China,Jilin,2704,80,,,,,,,,
2020-02-10,China,Liaoning,4359,107,,,,,,,,
2020-02-10,China,Macao SAR,66,10,,,,,,,,
2020-02-10,China,Ningxia,688,49,,,,,,,,
2020-02-10,China,Qinghai,603,18,,,,,,,,
2020-02-10,China,Shaanxi,3864,213,,,,,,,,
2020-02-10,China,Shandong,10047,459,,,,,,,,
2020-02-10,China,Shanghai,2424,295,,,,,,,,
2020-02-10,China,Shanxi,3718,119,,,,,,,,
2020-02-10,China,Sichuan,8341,405,,,,,,,,
2020-02-10,China,Taiwan,2359,18,,,,,,,,
2020-02-10,China,Tianjin,1560,91,,,,,,,,
